dob,season,sex,dod,mom_dob,age_at_delivery,age_at_death,treatment
1989-01-19T00:00:00Z,1989,m,1992-01-08T00:00:00Z,1984-02-19T00:00:00Z,4.920547945,2.969863014,control
1991-01-08T00:00:00Z,1991,f,1992-01-01T00:00:00Z,1980-05-12T00:00:00Z,10.66575342,0.980821918,control
1991-01-07T00:00:00Z,1991,m,1992-01-01T00:00:00Z,1982-03-27T00:00:00Z,8.789041096,0.983561644,control
1987-02-04T00:00:00Z,1987,f,1992-01-29T00:00:00Z,1981-02-16T00:00:00Z,5.969863014,4.98630137,control
1991-03-08T00:00:00Z,1991,f,1992-03-02T00:00:00Z,1983-03-06T00:00:00Z,8.010958904,0.98630137,control
1991-03-21T00:00:00Z,1991,f,1992-03-19T00:00:00Z,1982-02-04T00:00:00Z,9.128767123,0.997260274,control
1991-12-19T00:00:00Z,1992,f,1991-12-19T00:00:00Z,1985-05-08T00:00:00Z,6.619178082,0,control
1991-12-29T00:00:00Z,1992,m,1991-12-29T00:00:00Z,1980-04-14T00:00:00Z,11.71506849,0,control
1992-01-27T00:00:00Z,1992,f,1992-01-27T00:00:00Z,1981-01-13T00:00:00Z,11.04383562,0,control
1992-01-17T00:00:00Z,1992,f,1992-01-21T00:00:00Z,1983-01-13T00:00:00Z,9.016438356,0.010958904,control
1992-03-22T00:00:00Z,1992,m,1992-03-26T00:00:00Z,1986-05-20T00:00:00Z,5.843835616,0.010958904,control
1992-03-01T00:00:00Z,1992,f,1992-03-09T00:00:00Z,1988-02-06T00:00:00Z,4.068493151,0.021917808,control
1985-03-22T00:00:00Z,1985,f,1992-03-31T00:00:00Z,1980-05-12T00:00:00Z,4.863013699,7.030136986,control
1992-01-15T00:00:00Z,1992,m,1992-01-29T00:00:00Z,1987-01-12T00:00:00Z,5.010958904,0.038356164,control
1991-12-28T00:00:00Z,1992,m,1992-01-17T00:00:00Z,1986-02-20T00:00:00Z,5.854794521,0.054794521,control
1987-12-25T00:00:00Z,1988,f,1992-01-17T00:00:00Z,1982-03-27T00:00:00Z,5.750684932,4.065753425,control
1989-04-16T00:00:00Z,1989,m,1992-05-13T00:00:00Z,1980-03-16T00:00:00Z,9.090410959,3.076712329,control
1991-12-24T00:00:00Z,1992,m,1992-01-22T00:00:00Z,1983-01-19T00:00:00Z,8.934246575,0.079452055,control
1991-12-30T00:00:00Z,1992,m,1992-02-15T00:00:00Z,1984-03-24T00:00:00Z,7.77260274,0.128767123,control
1992-01-11T00:00:00Z,1992,m,1992-03-09T00:00:00Z,1987-02-07T00:00:00Z,4.928767123,0.15890411,control
1992-01-17T00:00:00Z,1992,m,1992-03-21T00:00:00Z,1988-01-14T00:00:00Z,4.010958904,0.175342466,control
1991-01-26T00:00:00Z,1991,f,1992-04-05T00:00:00Z,1980-02-04T00:00:00Z,10.98356164,1.191780822,control
1989-03-02T00:00:00Z,1989,f,1992-05-13T00:00:00Z,1982-01-25T00:00:00Z,7.104109589,3.2,control
1991-12-31T00:00:00Z,1992,f,1992-03-23T00:00:00Z,1985-03-22T00:00:00Z,6.780821918,0.22739726,control
1990-12-19T00:00:00Z,1991,f,1992-03-23T00:00:00Z,1980-01-23T00:00:00Z,10.91232877,1.260273973,control
1987-01-20T00:00:00Z,1987,m,1992-06-03T00:00:00Z,1982-02-22T00:00:00Z,4.912328767,5.37260274,control
1992-02-24T00:00:00Z,1992,m,1992-08-31T00:00:00Z,1987-02-19T00:00:00Z,5.016438356,0.517808219,control
1991-04-15T00:00:00Z,1991,m,1992-11-12T00:00:00Z,1982-03-26T00:00:00Z,9.060273973,1.580821918,control
1991-01-12T00:00:00Z,1991,f,1992-08-28T00:00:00Z,1986-04-15T00:00:00Z,4.747945205,1.62739726,control
1989-02-26T00:00:00Z,1989,f,1992-10-28T00:00:00Z,1985-02-11T00:00:00Z,4.043835616,3.671232877,control
1991-02-12T00:00:00Z,1991,m,1992-10-23T00:00:00Z,1981-02-22T00:00:00Z,9.978082192,1.695890411,control
1992-04-10T00:00:00Z,1992,m,1993-01-01T00:00:00Z,1984-02-23T00:00:00Z,8.134246575,0.728767123,control
1991-12-14T00:00:00Z,1992,m,1992-09-24T00:00:00Z,1983-12-22T00:00:00Z,7.983561644,0.780821918,control
1990-12-25T00:00:00Z,1991,m,1992-10-08T00:00:00Z,1982-02-26T00:00:00Z,8.832876712,1.789041096,control
1990-01-16T00:00:00Z,1990,f,1992-11-18T00:00:00Z,1981-01-01T00:00:00Z,9.046575342,2.84109589,control
1989-01-22T00:00:00Z,1989,f,1992-12-03T00:00:00Z,1985-03-22T00:00:00Z,3.84109589,3.865753425,control
1984-05-17T00:00:00Z,1984,f,1993-04-12T00:00:00Z,1980-02-04T00:00:00Z,4.284931507,8.909589041,control
1992-01-16T00:00:00Z,1992,m,1993-01-01T00:00:00Z,1985-03-22T00:00:00Z,6.824657534,0.961643836,control
1989-03-06T00:00:00Z,1989,f,1993-02-22T00:00:00Z,1984-03-24T00:00:00Z,4.953424658,3.969863014,control
1993-01-13T00:00:00Z,1993,u,1993-01-13T00:00:00Z,1988-12-20T00:00:00Z,4.068493151,0,control
1993-01-18T00:00:00Z,1993,m,1993-01-18T00:00:00Z,1983-01-19T00:00:00Z,10.00547945,0,control
1993-01-04T00:00:00Z,1993,m,1993-01-05T00:00:00Z,1982-01-28T00:00:00Z,10.94246575,0.002739726,control
1992-12-04T00:00:00Z,1993,f,1992-12-07T00:00:00Z,1984-02-12T00:00:00Z,8.816438356,0.008219178,control
1992-12-25T00:00:00Z,1993,m,1993-03-07T00:00:00Z,1980-03-01T00:00:00Z,12.82739726,0.197260274,control
1993-01-11T00:00:00Z,1993,f,1993-03-26T00:00:00Z,1988-01-21T00:00:00Z,4.978082192,0.202739726,control
1993-01-09T00:00:00Z,1993,m,1993-03-26T00:00:00Z,1989-01-12T00:00:00Z,3.994520548,0.208219178,control
1990-12-31T00:00:00Z,1991,f,1993-03-26T00:00:00Z,1981-02-18T00:00:00Z,9.871232877,2.235616438,control
1990-01-25T00:00:00Z,1990,f,1993-04-26T00:00:00Z,1981-02-18T00:00:00Z,8.939726027,3.252054795,control
1988-01-14T00:00:00Z,1988,f,1993-04-22T00:00:00Z,1981-02-18T00:00:00Z,6.906849315,5.273972603,control
1993-01-03T00:00:00Z,1993,m,1993-05-06T00:00:00Z,1981-01-13T00:00:00Z,11.98082192,0.336986301,control
1993-02-25T00:00:00Z,1993,f,1993-07-08T00:00:00Z,1987-01-14T00:00:00Z,6.120547945,0.364383562,control
1993-01-04T00:00:00Z,1993,m,1993-06-06T00:00:00Z,1988-01-14T00:00:00Z,4.978082192,0.419178082,control
1989-02-14T00:00:00Z,1989,m,1993-08-03T00:00:00Z,1980-03-23T00:00:00Z,8.904109589,4.468493151,control
1993-02-08T00:00:00Z,1993,m,1993-07-29T00:00:00Z,1981-02-18T00:00:00Z,11.98082192,0.468493151,control
1993-01-14T00:00:00Z,1993,m,1993-08-11T00:00:00Z,1982-03-26T00:00:00Z,10.81369863,0.57260274,control
1992-01-09T00:00:00Z,1992,m,1993-09-07T00:00:00Z,1987-01-19T00:00:00Z,4.975342466,1.663013699,control
1991-01-09T00:00:00Z,1991,m,1993-09-08T00:00:00Z,1984-03-24T00:00:00Z,6.8,2.665753425,control
1993-01-11T00:00:00Z,1993,m,1993-10-18T00:00:00Z,1981-02-22T00:00:00Z,11.89315068,0.767123288,control
1990-04-11T00:00:00Z,1990,f,1994-02-20T00:00:00Z,1981-01-13T00:00:00Z,9.246575342,3.865753425,control
1990-03-26T00:00:00Z,1990,m,1994-02-28T00:00:00Z,1984-02-23T00:00:00Z,6.090410959,3.931506849,control
1994-01-13T00:00:00Z,1994,f,1994-01-13T00:00:00Z,1989-02-25T00:00:00Z,4.884931507,0,control
1993-11-30T00:00:00Z,1994,f,1993-12-02T00:00:00Z,1989-01-31T00:00:00Z,4.832876712,0.005479452,control
1994-01-19T00:00:00Z,1994,f,1994-01-25T00:00:00Z,1989-01-02T00:00:00Z,5.049315068,0.016438356,control
1994-01-16T00:00:00Z,1994,f,1994-02-04T00:00:00Z,1989-01-12T00:00:00Z,5.01369863,0.052054795,control
1994-01-16T00:00:00Z,1994,m,1994-02-07T00:00:00Z,1986-12-30T00:00:00Z,7.052054795,0.060273973,control
1994-02-06T00:00:00Z,1994,u,1994-03-03T00:00:00Z,1982-03-26T00:00:00Z,11.87671233,0.068493151,control
1993-02-03T00:00:00Z,1993,m,1994-04-01T00:00:00Z,1985-01-01T00:00:00Z,8.095890411,1.156164384,control
1994-02-11T00:00:00Z,1994,m,1994-05-20T00:00:00Z,1988-02-08T00:00:00Z,6.01369863,0.268493151,control
1993-02-28T00:00:00Z,1993,m,1994-06-09T00:00:00Z,1986-04-15T00:00:00Z,6.879452055,1.276712329,control
1994-03-02T00:00:00Z,1994,f,1994-06-29T00:00:00Z,1989-03-25T00:00:00Z,4.939726027,0.326027397,control
1993-02-10T00:00:00Z,1993,m,1994-07-11T00:00:00Z,1981-01-01T00:00:00Z,12.11780822,1.41369863,control
1991-01-15T00:00:00Z,1991,f,1994-06-30T00:00:00Z,1986-02-17T00:00:00Z,4.912328767,3.457534247,control
1989-02-24T00:00:00Z,1989,f,1994-09-09T00:00:00Z,1982-02-21T00:00:00Z,7.01369863,5.542465753,control
1985-05-08T00:00:00Z,1985,f,1995-01-23T00:00:00Z,1980-04-14T00:00:00Z,5.068493151,9.717808219,control
1987-04-07T00:00:00Z,1987,m,1995-01-30T00:00:00Z,1982-03-11T00:00:00Z,5.076712329,7.821917808,control
1993-12-21T00:00:00Z,1994,m,1994-11-03T00:00:00Z,1983-02-05T00:00:00Z,10.88219178,0.868493151,control
1994-01-13T00:00:00Z,1994,m,1994-11-29T00:00:00Z,1989-02-24T00:00:00Z,4.887671233,0.876712329,control
1994-02-01T00:00:00Z,1994,f,1994-12-22T00:00:00Z,1987-01-14T00:00:00Z,7.054794521,0.887671233,control
1994-02-07T00:00:00Z,1994,m,1995-01-01T00:00:00Z,1990-01-28T00:00:00Z,4.030136986,0.898630137,control
1994-02-04T00:00:00Z,1994,f,1995-01-01T00:00:00Z,1984-03-24T00:00:00Z,9.873972603,0.906849315,control
1994-01-28T00:00:00Z,1994,m,1995-01-01T00:00:00Z,1986-04-15T00:00:00Z,7.794520548,0.926027397,control
1989-02-21T00:00:00Z,1989,m,1995-02-02T00:00:00Z,1984-02-10T00:00:00Z,5.035616438,5.950684932,control
1994-12-22T00:00:00Z,1995,f,1994-12-22T00:00:00Z,1990-02-20T00:00:00Z,4.838356164,0,control
1994-12-23T00:00:00Z,1995,m,1994-12-23T00:00:00Z,1989-01-12T00:00:00Z,5.947945205,0,control
1994-01-21T00:00:00Z,1994,m,1995-01-24T00:00:00Z,1986-01-29T00:00:00Z,7.983561644,1.008219178,control
1995-01-06T00:00:00Z,1995,f,1995-01-27T00:00:00Z,1983-02-05T00:00:00Z,11.9260274,0.057534247,control
1995-02-01T00:00:00Z,1995,u,1995-02-24T00:00:00Z,1990-02-07T00:00:00Z,4.98630137,0.063013699,control
1995-01-26T00:00:00Z,1995,m,1995-02-24T00:00:00Z,1988-02-11T00:00:00Z,6.961643836,0.079452055,control
1988-02-11T00:00:00Z,1988,f,1995-03-13T00:00:00Z,1984-03-24T00:00:00Z,3.887671233,7.087671233,control
1993-02-25T00:00:00Z,1993,f,1995-03-29T00:00:00Z,1987-01-26T00:00:00Z,6.087671233,2.087671233,control
1990-02-07T00:00:00Z,1990,f,1995-03-15T00:00:00Z,1984-03-24T00:00:00Z,5.879452055,5.101369863,control
1994-01-07T00:00:00Z,1994,f,1995-02-17T00:00:00Z,1985-03-09T00:00:00Z,8.838356164,1.112328767,control
1992-12-22T00:00:00Z,1993,f,1995-02-03T00:00:00Z,1984-03-24T00:00:00Z,8.753424658,2.117808219,control
1995-01-04T00:00:00Z,1995,f,1995-02-23T00:00:00Z,1984-03-24T00:00:00Z,10.7890411,0.136986301,control
1994-01-02T00:00:00Z,1994,m,1995-02-24T00:00:00Z,1988-01-21T00:00:00Z,5.953424658,1.145205479,control
1994-01-10T00:00:00Z,1994,f,1995-03-07T00:00:00Z,1989-02-23T00:00:00Z,4.882191781,1.153424658,control
1995-02-06T00:00:00Z,1995,f,1995-04-11T00:00:00Z,1991-01-29T00:00:00Z,4.024657534,0.175342466,control
1995-01-11T00:00:00Z,1995,f,1995-03-21T00:00:00Z,1991-01-27T00:00:00Z,3.95890411,0.189041096,control
1994-12-15T00:00:00Z,1995,m,1995-03-03T00:00:00Z,1982-03-26T00:00:00Z,12.73150685,0.21369863,control
1987-12-09T00:00:00Z,1988,f,1995-02-24T00:00:00Z,1982-02-10T00:00:00Z,5.830136986,7.216438356,control
1993-01-17T00:00:00Z,1993,m,1995-05-02T00:00:00Z,1985-02-17T00:00:00Z,7.920547945,2.287671233,control
1995-02-16T00:00:00Z,1995,f,1995-08-12T00:00:00Z,1985-02-11T00:00:00Z,10.01917808,0.484931507,control
1986-01-07T00:00:00Z,1986,f,1995-08-07T00:00:00Z,1982-01-28T00:00:00Z,3.945205479,9.58630137,control
1993-12-22T00:00:00Z,1994,f,1995-08-22T00:00:00Z,1989-02-27T00:00:00Z,4.819178082,1.665753425,control
1995-03-20T00:00:00Z,1995,m,1996-01-01T00:00:00Z,1986-01-07T00:00:00Z,9.202739726,0.78630137,control
1995-03-18T00:00:00Z,1995,f,1996-01-19T00:00:00Z,1988-01-16T00:00:00Z,7.17260274,0.84109589,control
1994-03-19T00:00:00Z,1994,f,1996-01-26T00:00:00Z,1986-02-20T00:00:00Z,8.079452055,1.857534247,control
1995-02-26T00:00:00Z,1995,f,1996-01-19T00:00:00Z,1991-03-04T00:00:00Z,3.98630137,0.895890411,control
1988-12-20T00:00:00Z,1989,f,1995-11-28T00:00:00Z,1982-03-11T00:00:00Z,6.783561644,6.942465753,control
1995-02-09T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1990-02-21T00:00:00Z,4.969863014,0.942465753,control
1995-02-08T00:00:00Z,1995,f,1996-01-19T00:00:00Z,1987-01-14T00:00:00Z,8.073972603,0.945205479,control
1995-02-04T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1984-02-27T00:00:00Z,10.94520548,0.956164384,control
1994-01-28T00:00:00Z,1994,m,1996-01-14T00:00:00Z,1988-01-16T00:00:00Z,6.038356164,1.961643836,control
1995-01-30T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1981-01-01T00:00:00Z,14.08767123,0.969863014,control
1995-01-30T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1988-02-06T00:00:00Z,6.98630137,0.969863014,control
1995-01-28T00:00:00Z,1995,f,1996-01-19T00:00:00Z,1982-03-27T00:00:00Z,12.84931507,0.975342466,control
1996-04-29T00:00:00Z,1996,u,1996-04-29T00:00:00Z,1990-01-28T00:00:00Z,6.254794521,0,control
1995-11-27T00:00:00Z,1996,f,1995-11-28T00:00:00Z,1992-01-25T00:00:00Z,3.84109589,0.002739726,control
1996-01-21T00:00:00Z,1996,u,1996-01-22T00:00:00Z,1982-02-21T00:00:00Z,13.92328767,0.002739726,control
1996-03-28T00:00:00Z,1996,f,1996-03-29T00:00:00Z,1980-02-04T00:00:00Z,16.15616438,0.002739726,control
1995-01-17T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1990-02-09T00:00:00Z,4.939726027,1.005479452,control
1995-12-21T00:00:00Z,1996,m,1995-12-26T00:00:00Z,1982-03-26T00:00:00Z,13.74794521,0.01369863,control
1996-02-13T00:00:00Z,1996,f,1996-02-20T00:00:00Z,1986-12-26T00:00:00Z,9.139726027,0.019178082,control
1996-02-07T00:00:00Z,1996,f,1996-02-15T00:00:00Z,1985-02-17T00:00:00Z,10.97808219,0.021917808,control
1994-12-29T00:00:00Z,1995,m,1996-01-19T00:00:00Z,1987-01-23T00:00:00Z,7.936986301,1.057534247,control
1994-12-26T00:00:00Z,1995,f,1996-01-19T00:00:00Z,1988-12-18T00:00:00Z,6.024657534,1.065753425,control
1993-12-26T00:00:00Z,1994,f,1996-01-25T00:00:00Z,1988-01-27T00:00:00Z,5.917808219,2.082191781,control
1992-03-04T00:00:00Z,1992,m,1996-04-11T00:00:00Z,1985-02-05T00:00:00Z,7.079452055,4.106849315,control
1995-12-21T00:00:00Z,1996,f,1996-01-29T00:00:00Z,1989-01-12T00:00:00Z,6.942465753,0.106849315,control
1993-11-21T00:00:00Z,1994,m,1996-01-17T00:00:00Z,1985-04-01T00:00:00Z,8.646575342,2.156164384,control
1996-02-13T00:00:00Z,1996,m,1996-06-17T00:00:00Z,1988-03-19T00:00:00Z,7.909589041,0.342465753,control
1996-02-02T00:00:00Z,1996,f,1996-06-24T00:00:00Z,1990-02-01T00:00:00Z,6.005479452,0.391780822,control
1989-01-24T00:00:00Z,1989,f,1996-07-02T00:00:00Z,1980-04-14T00:00:00Z,8.78630137,7.44109589,control
1996-01-22T00:00:00Z,1996,f,1996-07-12T00:00:00Z,1992-01-03T00:00:00Z,4.054794521,0.471232877,control
1996-02-08T00:00:00Z,1996,m,1996-08-26T00:00:00Z,1985-04-01T00:00:00Z,10.8630137,0.547945205,control
1992-01-03T00:00:00Z,1992,f,1996-08-15T00:00:00Z,1987-01-23T00:00:00Z,4.947945205,4.619178082,control
1996-03-22T00:00:00Z,1996,f,1996-11-08T00:00:00Z,1990-01-24T00:00:00Z,6.161643836,0.632876712,control
1996-03-08T00:00:00Z,1996,m,1996-12-02T00:00:00Z,1985-02-11T00:00:00Z,11.07671233,0.736986301,control
1992-11-24T00:00:00Z,1993,f,1996-09-05T00:00:00Z,1985-02-11T00:00:00Z,7.789041096,3.783561644,control
1996-03-10T00:00:00Z,1996,f,1996-12-23T00:00:00Z,1985-03-09T00:00:00Z,11.0109589,0.789041096,control
1995-01-18T00:00:00Z,1995,f,1996-11-22T00:00:00Z,1983-03-17T00:00:00Z,11.84931507,1.846575342,control
1994-01-29T00:00:00Z,1994,f,1996-12-06T00:00:00Z,1990-02-21T00:00:00Z,3.939726027,2.854794521,control
1996-02-19T00:00:00Z,1996,f,1997-01-01T00:00:00Z,1992-03-01T00:00:00Z,3.97260274,0.868493151,control
1994-03-04T00:00:00Z,1994,m,1997-01-16T00:00:00Z,1982-01-31T00:00:00Z,12.09589041,2.873972603,control
1990-03-01T00:00:00Z,1990,m,1997-01-13T00:00:00Z,1982-03-22T00:00:00Z,7.947945205,6.876712329,control
1996-02-07T00:00:00Z,1996,m,1997-01-01T00:00:00Z,1981-02-16T00:00:00Z,14.98356164,0.901369863,control
1996-02-05T00:00:00Z,1996,f,1997-01-01T00:00:00Z,1987-01-12T00:00:00Z,9.071232877,0.906849315,control
1996-02-05T00:00:00Z,1996,m,1997-01-01T00:00:00Z,1988-01-16T00:00:00Z,8.060273973,0.906849315,control
1996-02-04T00:00:00Z,1996,f,1997-01-01T00:00:00Z,1983-01-31T00:00:00Z,13.01917808,0.909589041,control
1996-01-30T00:00:00Z,1996,f,1997-01-01T00:00:00Z,1988-01-30T00:00:00Z,8.005479452,0.923287671,control
1987-01-23T00:00:00Z,1987,f,1997-01-03T00:00:00Z,1982-01-31T00:00:00Z,4.980821918,9.953424658,control
1996-12-16T00:00:00Z,1997,m,1996-12-16T00:00:00Z,1982-03-26T00:00:00Z,14.7369863,0,control
1997-01-08T00:00:00Z,1997,m,1997-01-08T00:00:00Z,1988-01-16T00:00:00Z,8.98630137,0,control
1997-01-23T00:00:00Z,1997,u,1997-01-24T00:00:00Z,1988-02-12T00:00:00Z,8.953424658,0.002739726,control
1995-12-22T00:00:00Z,1996,m,1996-12-23T00:00:00Z,1989-02-23T00:00:00Z,6.830136986,1.005479452,control
1997-04-16T00:00:00Z,1997,m,1997-04-24T00:00:00Z,1992-12-25T00:00:00Z,4.309589041,0.021917808,control
1995-12-24T00:00:00Z,1996,m,1997-01-01T00:00:00Z,1990-02-16T00:00:00Z,5.854794521,1.024657534,control
1997-01-14T00:00:00Z,1997,u,1997-01-27T00:00:00Z,1986-12-26T00:00:00Z,10.06027397,0.035616438,control
1995-01-17T00:00:00Z,1995,f,1997-02-03T00:00:00Z,1984-05-25T00:00:00Z,10.65479452,2.049315068,control
