Strain	N_Gene_tot	DNApol_III_a_sub	tRNA_synthetase	16rRNA	cellulase	Blactamase
Bradyrhizobium_sp._CCBAU_15615	2838	1	23	5	6	2
Campylobacter_coli_strain_BP3183	1962	1	20	3	4	1
Salmonella_enterica_subsp._enterica_serovar_Indiana_strain_MYHL	6396	2	28	5	4	5
Acinetobacter_baumannii_strain_AR_0102	4135	2	21	8	6	4
Bordetella_parapertussis_strain_I267	4773	2	21	3	4	3
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_strain_92-0392	5632	1	23	2	10	2
Nonlabens_sp._Hel1_33_55	3122	2	21	3	2	6
Escherichia_coli_strain_H15	5090	1	23	2	8	1
Streptococcus_pyogenes_strain_TJ11-001	2066	1	23	9	2	1
Pectobacterium_parmentieri_strain_IFB5604_strain_not_applicable	5311	1	22	5	6	3
Phaeobacter_piscinae_strain_P18	4792	2	20	5	4	4
Cronobacter_sakazakii_ATCC_BAA-894	4182	1	24	2	6	2
Brucella_melitensis_strain_BwIM_TUR_60	3695	2	20	1	5	3
Bordetella_pertussis_strain_H637	4381	3	21	1	7	1
Streptococcus_pneumoniae_strain_HKU1-14	3209	1	23	0	9	3
Pseudomonas_mandelii_strain_LMG_21607	6896	2	24	8	3	7
Acinetobacter_baumannii_strain_KAB06	4079	1	21	8	3	5
Vibrio_natriegens_NBRC_15636_=_ATCC_14048_=_DSM_759_strain_ATCC_14048	4859	2	23	3	5	2
Mycobacterium_bovis_strain_30	4687	3	21	2	10	10
Chlamydia_trachomatis_strain_SB002739	1423	1	18	3	1	1
Treponema_succinifaciens_DSM_2489	2924	1	21	3	4	5
Bacillus_subtilis_strain_SRCM103551	4496	1	25	10	4	4
Salmonella_enterica_subsp._enterica_serovar_Newport_str._USDA-ARS-USMARC-1924	5573	1	24	1	5	3
Actinomyces_hominis_strain_UMB0859	5504	1	23	2	11	2
Lactobacillus_amylolyticus_strain_L6	1972	2	22	4	3	2
Clostridioides_difficile_strain_DSM_28196	4486	1	25	15	5	6
Bifidobacterium_animalis_subsp._lactis_strain_S7	1821	2	20	1	9	0
Enterococcus_gallinarum_strain_FDAARGOS_728_strain_Not_applicable	3421	1	26	2	6	4
Parachlamydia_acanthamoebae_UV-7	2835	1	21	1	3	4
Sphingobacterium_paucimobilis_HER1398	2247	1	23	6	3	1
Escherichia_coli_strain_FORC_031	5704	1	23	9	5	1
Marinobacter_sp._NP-4(2019)_strain_NP-4(2019)_strain_NP-4(2019)_strain_NP-4(2019)	4421	2	21	1	5	6
Escherichia_coli_strain_DTU-1	4779	1	24	2	4	1
Cyclobacterium_amurskyense_strain_KCTC_12363	5805	2	20	4	10	16
Acinetobacter_radioresistens_strain_LH6	3080	1	21	9	7	2
Methanosarcina_mazei_S-6	4696	0	21	4	3	2
Helicobacter_pylori_strain_F72	1785	1	20	3	0	0
Buchnera_aphidicola_(Aphis_nasturtii)_strain_Ana	642	1	23	1	0	0
Escherichia_coli_strain_AR202.2	5570	1	23	0	5	4
Streptococcus_agalactiae_strain_B111	2333	2	23	3	2	1
Klebsiella_pneumoniae_strain_INF235-sc-2280127	6126	1	26	2	7	5
Salmonella_enterica_subsp._enterica_serovar_Stanleyville_strain_RSE30	5372	1	27	0	8	1
Bordetella_pertussis_strain_I120	4427	3	21	3	4	1
Staphylococcus_aureus_strain_BSN9R	3103	1	21	6	2	4
Vibrio_chagasii_strain_ECSMB14107	5443	2	23	13	7	2
Escherichia_coli_strain_MC1061	5154	1	26	2	5	1
Tropheryma_whipplei_TW08/27	1039	1	19	1	3	0
Staphylococcus_aureus_strain_FDAARGOS_159	2988	1	21	6	2	5
Escherichia_coli_strain_RM9975	6258	2	25	2	7	1
Mycoplasma_pullorum_strain_B359_6	984	1	21	2	3	0
Thermodesulfobium_narugense_DSM_14796	1967	1	22	1	3	5
Escherichia_coli_strain_WCHEC005784	5472	1	23	2	2	6
Psychromonas_ingrahamii_37	4242	1	22	2	4	3
Blastomonas_sp._RAC04	4267	2	20	3	7	12
Bacillus_subtilis_strain_SZMC_6179J	4609	1	25	8	10	4
Capnocytophaga_canimorsus_strain_H5594	2565	1	21	3	3	4
Campylobacter_jejuni_subsp._jejuni_NCTC_11168-mcK12E5	1786	1	20	1	0	1
Pantoea_vagans_strain_FBS135	5125	1	22	2	7	4
Klebsiella_pneumoniae_CG43	4997	1	25	2	12	5
Leuconostoc_mesenteroides_strain_SRCM102735	2183	1	22	4	2	1
Listeria_monocytogenes_strain_PIR00540	3269	1	23	5	4	3
Acinetobacter_haemolyticus_strain_11616	3906	1	21	6	4	3
Legionella_pneumophila_subsp._fraseri_strain_Detroit-1	3438	1	23	4	3	7
Bordetella_pertussis_strain_J522	4424	3	21	3	7	1
Klebsiella_pneumoniae_342	5547	1	25	2	11	8
Helicobacter_pylori_strain_C-Mx-2010-12	1768	1	21	0	0	0
Thauera_chlorobenzoica_strain_3CB1	3936	1	22	6	5	3
Staphylococcus_nepalensis_strain_JS9	2952	1	21	5	3	1
Vibrio_anguillarum_strain_90-11-286	4430	1	22	2	4	4
Chryseobacterium_oranimense_G311	5568	1	21	6	4	7
Bacillus_anthracis_strain_MCCC_1A01412	6026	1	33	16	6	20
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094177	4720	1	23	2	9	1
Citrobacter_freundii_strain_UMH15	5568	1	23	0	10	3
Salmonella_enterica_subsp._enterica_strain_1607:MR00001R	5717	1	24	0	11	3
Bordetella_pertussis_CS	4369	3	21	1	5	1
Thermotoga_sp._2812B	1954	1	22	2	6	0
Lactobacillus_plantarum_2025	3753	1	24	0	10	4
Micromonospora_coxensis_strain_DSM_45161	1104	1	20	1	0	1
Escherichia_coli_strain_DH5alpha	5172	1	23	2	5	1
Neisseria_gonorrhoeae_strain_NJ189125	3109	1	21	0	4	0
Ureibacillus_thermophilus_strain_LM102	4039	1	22	4	3	2
Acinetobacter_baumannii_strain_PG20180064	3815	1	24	6	4	4
Burkholderia_sp._MSMB1552	4831	1	25	2	9	10
Klebsiella_pneumoniae_BJ1-GA	6208	1	28	2	9	9
Rhodococcus_rhodochrous_strain_NCTC10210	5089	2	21	5	6	9
Arachidicoccus_ginsenosidivorans_strain_Gsoil_809	6122	4	24	1	19	11
Mesorhizobium_ciceri_ca181	7412	5	23	2	1	10
Shigella_flexneri_strain_SFL1520	5649	1	22	0	6	1
Taylorella_equigenitalis_MCE9	1599	1	21	1	0	0
Rickettsia_rickettsii_str._Hauke	1745	1	20	1	0	6
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121989	4636	1	23	2	6	1
Salmonella_enterica_subsp._enterica_serovar_Tennessee_strain_ATCC_10722	5306	1	23	2	5	1
Xanthomonas_oryzae_pv._oryzae_strain_SK2-3	6154	2	23	4	11	7
Bacillus_velezensis_strain_SRCM102743	4137	1	24	9	5	5
Bacillus_thermoamylovorans_strain_SSBM	4837	1	26	6	5	1
Acinetobacter_sp._WCHAc060008	4964	1	23	2	5	1
Rhodobacter_sphaeroides_2.4.1	4478	3	21	1	10	4
Staphylococcus_aureus_strain_FCFHV36	2887	1	21	7	3	3
Kangiella_geojedonensis_strain_YCS-5	2665	1	22	2	8	3
Comamonas_sp._NLF_7-7	3322	2	21	0	1	3
Enterobacter_cloacae_ECR091	4736	1	23	2	6	5
Bordetella_parapertussis_strain_J328	4766	2	21	3	4	3
Brucella_abortus_strain_21630	3843	3	24	1	4	3
Prochlorococcus_marinus_bv._HNLC2	1874	1	21	2	1	0
Acinetobacter_baumannii_strain_4300STDY7045718	2451	1	22	6	3	0
Salmonella_enterica_subsp._enterica_serovar_Anatum_str._USDA-ARS-USMARC-1727	5329	1	23	2	6	1
Lactobacillus_paracasei_strain_FAM18149	3447	1	22	3	4	8
Streptococcus_suis_strain_LSM102	2436	1	23	3	6	1
Klebsiella_pneumoniae_strain_KPN1482	6645	1	26	2	10	11
Pleurocapsa_sp._PCC_7327	5352	2	23	1	11	5
Methylobacterium_extorquens_AM1	6555	3	24	2	12	7
Escherichia_coli_str._K-12_substr._MG1655	4940	1	23	2	11	1
Lactobacillus_parabuchneri_strain_FAM21731	2927	1	23	6	2	1
Leuconostoc_mesenteroides_strain_CBA7131	2344	1	22	1	3	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120916	4950	1	23	2	3	1
Enterococcus_faecium_strain_4928STDY7071573	5678	1	25	2	10	10
Bacillus_subtilis_subsp._subtilis_strain_PG10	3034	1	25	8	8	1
Pseudomonas_sp._SWI7	4765	2	21	7	5	6
Bacillus_pumilus_strain_ku-bf1	4108	1	24	5	5	3
Staphylococcus_aureus_subsp._aureus_Mu3	2844	1	21	2	6	2
Streptococcus_pyogenes_strain_ABC020055975	2094	1	23	0	2	1
Lactobacillus_plantarum_strain_BLS41	3624	1	24	7	5	3
Arthrobacter_sp._Rue61a	4943	2	21	1	10	6
Delftia_acidovorans_SPH-1	6227	2	22	2	9	10
Lactobacillus_plantarum_strain_IRG1	3553	1	24	0	4	6
Methanocella_arvoryzae_MRE50	3248	0	24	1	2	3
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_strain_40	5048	1	23	6	5	1
Gemmata_sp._SH-PL17	9839	1	21	4	3	15
Klebsiella_pneumoniae_subsp._pneumoniae_KPNIH24	5719	1	25	2	10	7
Methylobacterium_populi_strain_P-1M	6136	2	22	7	9	6
Clostridium_chauvoei_strain_12S0467	2984	1	24	11	6	3
Escherichia_coli_strain_2014C-4705	6704	2	33	9	7	1
Pandoraea_pulmonicola_DSM_16583	5270	2	22	2	5	4
Plantibacter_sp._M259	4343	4	21	2	7	8
Ramlibacter_tataouinensis_strain_5-10	4794	2	23	0	7	7
Mycobacterium_bovis_BCG	4488	2	21	2	7	10
Bordetella_bronchiseptica_MO149	4953	2	21	1	5	3
Bacillus_subtilis_strain_SRCM102753	4241	1	25	10	6	4
Leuconostoc_mesenteroides_subsp._mesenteroides_J18	2278	1	22	1	4	1
Helicobacter_pylori_strain_7.13_D2c	1805	1	20	2	1	0
Salmonella_enterica_subsp._enterica_serovar_Moscow_str._S-1843_strain_S-1843	5106	1	23	2	6	1
Burkholderia_multivorans_strain_FDAARGOS_726_strain_Not_applicable	6502	2	24	0	7	8
Bordetella_hinzii_strain_NCTC13199	4876	2	21	3	8	3
Xanthomonas_vasicola_pv._vasculorum_strain_SAM119	5214	2	22	4	12	4
Klebsiella_pneumoniae_strain_INF206-sc-2280074	5975	1	26	2	5	5
Lactobacillus_plantarum_strain_LZ206	3490	2	24	2	6	3
Lachnoanaerobaculum_umeaense_strain_DSM_23576_=_CCUG_58757	2991	1	21	2	3	1
Mycoplasma_bovis_strain_HB0801-P180	1028	1	21	4	1	0
Sporosarcina_sp._P33_strain_P33	3523	1	22	10	2	1
Brucella_melitensis_strain_BwIM_SYR_05	3692	2	20	1	3	3
Mycobacterium_tuberculosis_PanR0611	4461	2	21	1	5	10
Nitrosomonas_europaea_ATCC_19718	2943	1	23	1	2	2
Streptococcus_agalactiae_strain_NCTC11930	2230	2	23	10	4	1
Piscirickettsia_salmonis_strain_PM25344B	5103	1	21	3	7	0
Streptococcus_equi_subsp._zooepidemicus_MGCS10565	2093	1	24	3	6	1
Staphylococcus_aureus_strain_28	2908	1	21	8	2	7
Legionella_pneumophila_2300/99_Alcoy	3404	1	22	1	7	6
Neisseria_meningitidis_strain_FDAARGOS_214	3587	1	21	2	6	0
Proteus_mirabilis_strain_CLPM181223	3867	1	23	1	4	2
Bordetella_pertussis_strain_B203	4401	3	21	1	6	1
Sulfurospirillum_sp._UCH001	2682	1	21	5	0	3
Xanthomonas_oryzae_pv._oryzae_strain_PXO364	6169	2	22	2	9	5
Azospirillum_brasilense_strain_Cd	7520	2	23	0	6	8
Bacillus_cereus_strain_C1L	6508	1	35	16	6	24
Escherichia_coli_strain_BH100	5860	1	25	2	5	4
Sinorhizobium_meliloti_strain_AK21	8162	5	20	0	8	11
Gordonia_sp._QH-11	4371	2	21	3	2	3
Helicobacter_pylori_strain_7.13_R3c	1797	1	20	2	1	0
Thermotoga_thermarum_DSM_5069	2162	1	23	2	3	3
Escherichia_coli_strain_DA33137	6017	1	24	2	7	4
Enterococcus_faecium_strain_F17E0263	3462	1	26	2	3	3
Bacillus_virus_Riggi	95	1	0	0	0	0
Cloacibacterium_normanense_strain_NRS-1	2784	1	21	2	3	6
Chamaesiphon_minutus_PCC_6605	7499	1	23	1	8	6
Phycisphaerae_bacterium_ST-NAGAB-D1_strain_ST-NAGAB-D1	4600	1	21	2	7	1
Streptomyces_cavourensis_strain_TJ430	7143	2	22	4	8	11
Helicobacter_cinaedi_ATCC_BAA-847	2598	2	20	1	0	0
Enterobacter_cloacae_strain_AR_0050	5060	3	23	2	5	8
Escherichia_coli_strain_AR_0058	5562	1	23	2	5	8
Streptococcus_pneumoniae_strain_SWU02	3106	1	23	7	4	3
Cellvibrio_japonicus_Ueda107	3835	1	21	2	12	5
Escherichia_coli_strain_131	5914	1	23	0	4	4
Mycobacterium_vaccae_95051	6040	2	21	3	4	11
Planctomyces_sp._SH-PL14	9368	3	21	2	9	14
Wolbachia_endosymbiont_of_Brugia_malayi_strain_TRS	1682	1	20	1	0	0
Deinococcus_sp._S14-83_strain_S14-83T	4616	1	22	3	5	12
Listeria_monocytogenes_strain_WSLC_1019	2903	1	23	3	3	3
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110358	4684	1	23	2	4	1
Listeria_monocytogenes_ATCC_19117	2993	1	23	2	3	3
Paraburkholderia_hospita_strain_DSM_17164	12623	2	23	9	16	10
Arcobacter_canalis_strain_LMG_29148	3028	1	21	6	4	2
Pseudomonas_sp._S49	6322	2	23	0	4	5
Acinetobacter_baumannii_strain_3027STDY5784958	4066	1	21	8	6	5
Streptococcus_equi_subsp._zooepidemicus_strain_NCTC11824	2284	1	23	9	3	1
Acinetobacter_baumannii_strain_AC29	3778	1	21	2	3	5
Legionella_pneumophila_strain_C11_O	3295	1	22	4	3	7
Bordetella_holmesii_strain_H400	4074	2	21	3	3	1
Acetobacter_pasteurianus_IFO_3283-03	3257	1	20	1	3	2
Novosphingobium_pentaromativorans_US6-1	5533	2	21	1	6	13
Mycobacteroides_chelonae_strain_NCTC946	5262	2	21	2	5	11
Planctomycetes_bacterium_K2D	5844	2	21	1	8	7
Mycobacterium_tuberculosis_ERR176758	5526	3	25	0	8	5
Bordetella_avium_strain_JBBA	3770	2	21	3	2	0
Neisseria_gonorrhoeae_strain_TFG-A2_strain_not_applicable	3044	1	23	4	6	0
Escherichia_coli_strain_2014C-3599	6032	1	23	9	5	1
Lactobacillus_plantarum_strain_SRCM103362	3444	1	24	0	4	5
Borrelia_hermsii_YOR	1051	1	22	1	0	0
Corynebacterium_jeikeium_K411	2189	2	20	1	1	1
Salmonella_enterica_subsp._enterica_serovar_Agona_strain_USDA-ARS-USMARC-76335	5183	1	23	0	5	1
Pseudomonas_sp._SWI6	5539	2	21	11	10	6
Bordetella_pertussis_strain_J697	4539	3	21	3	4	1
Burkholderia_mallei_strain_Turkey4	6254	2	26	6	9	7
Piscirickettsia_salmonis_strain_BI1	6164	1	21	6	5	0
Enterobacter_cloacae_strain_4928STDY7071342	4986	1	23	1	4	4
Brucella_melitensis_strain_1	3508	2	20	4	2	3
Bacillus_altitudinis_strain_Cr2-1	4288	1	24	1	10	4
Listeria_monocytogenes_serotype_4b_str._02-1792_strain_02-1792	3070	1	23	7	2	3
Acetobacter_pasteurianus_subsp._ascendens_strain_LMG_1590	3519	1	20	1	2	2
Bradyrhizobium_japonicum_USDA_110	8581	2	26	1	9	17
Coprococcus_sp._ART55/1	2633	1	27	2	3	1
Escherichia_coli_strain_9FA	4794	1	24	9	4	2
Lactobacillus_gasseri_130918	2026	2	22	2	6	3
Taylorella_equigenitalis_strain_98-0554	1688	1	21	1	0	0
Halovivax_ruber_XH-70	3211	0	21	1	8	3
Formosa_sp._Hel3_A1_48	1904	1	21	3	3	2
Humibacter_sp._WJ7-1	4075	2	20	0	7	6
Arthrobacter_sp._YC-RL1	4005	2	20	6	5	4
Leclercia_sp._LSNIH3	5699	1	23	2	7	6
Pyrobaculum_arsenaticum_DSM_13514	2671	0	21	1	3	0
Histophilus_somni_strain_UOC-KLM-ATR-07	2106	1	22	5	2	0
Thermobifida_fusca_YX	3327	1	20	1	7	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121177	4687	1	22	2	7	1
Legionella_pneumophila_strain_C7_O	3224	1	22	4	2	7
Variovorax_sp._PMC12	6809	2	21	2	4	14
Corynebacterium_diphtheriae_C7_(beta)	2601	2	20	1	8	1
Brucella_abortus_strain_BAB8416	3455	2	21	4	1	3
Escherichia_coli_strain_YPE12	5556	1	23	0	6	4
Bordetella_hinzii_strain_14-3425	4799	2	21	0	6	3
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_strain_VNB151-sc-2315230	5648	1	23	9	8	2
Vibrio_parahaemolyticus_strain_FORC_023	4827	2	24	14	10	4
Pseudomonas_syringae_pv._actinidiae_strain_CRAFRU_12.29	7028	2	23	2	7	8
Arsenophonus_endosymbiont_of_Aleurodicus_dispersus_strain_ARAD	868	1	22	1	0	0
Erwinia_persicina_strain_B64	5216	1	25	2	8	3
Bacillus_anthracis_strain_Han	6238	1	37	13	10	24
Escherichia_coli_strain_BR10-DEC	5540	2	26	2	6	2
Marinobacterium_sp._ST58-10	5043	1	21	4	3	2
Clostridium_sulfidigenes_strain_113A	3047	1	23	4	4	0
Rhizobium_etli_bv._mimosae_str._Mim1	7355	6	22	1	14	7
Methylobacterium_sp._XJLM	6892	2	22	6	7	6
Mycoplasma_pneumoniae_strain_S4-tet-R	934	1	21	1	0	0
Klebsiella_pneumoniae_strain_NCTC11359	5158	1	25	8	10	5
Thermogladius_cellulolyticus_1633	1494	0	20	1	4	1
Bordetella_holmesii_strain_F028	4020	2	21	1	3	1
Pseudomonas_sp._R2-60-08W	5480	2	24	0	11	7
Flavobacterium_columnare_strain_TC_1691	3110	1	21	8	3	4
Arcobacter_nitrofigilis_DSM_7299	3196	1	21	2	4	1
Variovorax_paradoxus_strain_5C-2	7119	3	21	0	6	9
Escherichia_coli_strain_1223	5431	1	23	2	8	2
Dehalococcoides_mccartyi_strain_KBTCE1	1581	1	20	2	1	3
Escherichia_coli_strain_NCTC9702	6504	1	39	7	8	1
Paraprevotella_xylaniphila_YIT_11841_strain_Paraprevotella_xylaniphila_82A6	3780	3	21	7	10	3
Neisseriaceae_bacterium_DSM_100970	2735	2	24	5	3	4
Paenibacillus_polymyxa_strain_ZF129	5588	1	28	6	14	9
Rickettsia_rickettsii_str._Sheila_Smith	1618	1	20	1	0	6
Lactobacillus_reuteri_TD1	2110	1	22	1	101	2
Aeromonas_hydrophila_YL17	4517	1	24	2	3	5
Staphylococcus_aureus_ST228/10388	2692	1	21	2	7	4
Bacillus_velezensis_strain_BIM_B-439D	4260	1	24	11	7	5
Aeromonas_hydrophila_4AK4	4297	1	24	2	9	3
Listeria_monocytogenes_strain_FORC_057	3203	1	23	6	2	3
Caproiciproducens_sp._NJN-50	3741	1	24	1	3	5
Roseomonas_gilardii_strain_U14-5	5294	3	22	6	7	9
Streptococcus_gallolyticus_subsp._gallolyticus_ATCC_43143	2402	1	23	3	4	1
Gloeocapsopsis_sp._AAB1_=_1H9	5303	2	22	6	8	5
Bifidobacterium_bifidum_strain_MGYG-HGUT-02396	2235	2	19	3	0	1
Clostridioides_difficile_strain_CD-10-00484	4251	1	25	15	4	6
Streptococcus_sp._NCTC_10228_strain_NCTC10228	2272	1	23	6	4	2
Klebsiella_pneumoniae_strain_CRKP_I	5695	1	26	0	12	5
Streptococcus_agalactiae_strain_SA623	2049	1	23	9	4	1
Plantactinospora_sp._BC1	7815	2	27	1	11	26
Trueperella_bialowiezensis_strain_NCTC13354	1999	2	20	2	2	3
Mycoplasma_anseris_strain_ATCC_49234	1183	8	50	3	0	0
Streptomyces_sp._endophyte_N2	7818	2	26	7	3	12
Brochothrix_thermosphacta_strain_TMW_2.1564	8785	6	46	2	10	5
Labrenzia_sp._VG12	5854	2	23	2	7	7
Escherichia_coli_strain_Es_ST410_NW1_NDM_09_2017	5756	1	24	2	12	4
Legionella_pneumophila_subsp._pneumophila_strain_Albuquerque_1_(D-7474)_strain_Albuquerque_1_(D-7474)	3701	1	23	4	1	8
Escherichia_coli_strain_K-12_substrain_MG1655_TMP32XR2	4887	1	23	2	11	1
Bordetella_pertussis_strain_E945	4418	3	21	1	7	1
Bordetella_holmesii_strain_H359	4077	2	21	3	5	1
Helicobacter_pylori_G27	1827	1	20	2	2	0
Escherichia_coli_strain_LD26-1	5501	1	23	0	6	4
Leifsonia_sp._509MF	4067	2	21	2	9	6
Leptospira_interrogans_strain_R12	5002	1	20	0	5	1
Listeria_monocytogenes_strain_Lm_3163	3143	1	25	2	1	3
Bordetella_pertussis_strain_J698	4462	3	21	3	3	1
Hydrogenobaculum_sp._3684	1708	1	21	1	2	1
Staphylococcus_aureus_strain_128	2861	1	21	8	7	1
Acinetobacter_lwoffii_strain_NCTC5866	3657	1	21	7	6	1
Brucella_melitensis_strain_1	3512	2	20	4	5	3
Pseudolabrys_sp._FHR47	4534	3	22	1	2	5
Listeria_monocytogenes_SLCC2540	3035	1	23	2	5	3
Escherichia_coli_B_str._REL606	4640	1	23	2	7	1
Bacillus_anthracis_str._A0248	6188	1	32	2	7	22
Lactobacillus_casei_LcY	3430	1	22	7	3	8
Bordetella_parapertussis_strain_J156	4770	2	21	3	4	3
Salmonella_enterica_subsp._enterica_serovar_Indiana_strain_JT_01	5115	1	24	0	7	1
Rhodanobacter_glycinis_strain_T01E-68	4042	2	24	2	8	13
Rhodococcus_sp._MTM3W5.2_strain_MTM3W5.2	5894	2	26	6	3	15
Haemophilus_influenzae_Hi375	1905	1	22	2	1	0
Helicobacter_pylori_strain_F209	1741	1	20	3	0	0
Acinetobacter_sp._114	3049	1	21	2	4	0
Haemophilus_influenzae_strain_M14951	2222	1	26	8	2	0
Staphylococcus_aureus_strain_PCFA-221	2787	1	21	6	7	4
Citrobacter_freundii_CFNIH1	5272	1	24	2	2	8
Buchnera_aphidicola_(Melanaphis_sacchari)_strain_LSU	646	1	22	2	0	0
Seonamhaeicola_sp._S2-3_strain_S2-3	3527	2	22	3	9	5
Mycobacterium_africanum_GM041182	4448	2	21	1	5	10
uncultured_Desulfatiglans_sp._strain_IK1	5632	2	24	1	12	5
Salmonella_enterica_subsp._enterica_strain_SCSM4.1	5707	1	23	0	4	3
Maribacter_sp._1_2014MBL_MicDiv	3888	2	22	1	5	10
Bordetella_pertussis_strain_J091	4383	3	21	1	5	1
Vibrio_cholerae_strain_InDRE_4354	4299	2	25	3	5	3
Mesorhizobium_sp._M3A.F.Ca.ET.080.04.2.1	6434	2	20	1	10	8
Francisella_tularensis_strain_09-1590-3104	3660	1	24	2	6	3
Helicobacter_pylori_strain_F38	1818	1	20	3	2	0
Vibrio_parahaemolyticus_strain_2014V-1066	5035	2	24	12	10	4
Staphylococcus_aureus_strain_468	2892	1	21	8	4	4
Acinetobacter_baumannii_strain_3207	4440	1	21	2	4	5
