"Area_ha","Log_Area","Perim_m","Log_perim","PA_ratio","Euc_source_m","Log_Euc_source_m","Euc_source_km","Euc_forest_m","Log_Euc_forest_m","Euc_forest_km","CD_comm_source","Log_CD_comm_source","CD_comm_forest","Log_CD_comm_forest","CD_pred_source","Log_CD_pred_source","CD_pred_forest","Log_CD_pred_forest","CD_deer_source","Log_CD_deer_source","CD_deer_forest","Log_CD_deer_forest","Natural_1km","Patch_proximity","Site","Year","Rodents_Present","Rodent_Rich","Rodent_Shannon","NEFUwPERO_abund","Pero_abund","Nefu_abund","Wildlife_Richness","Wildlife_Present","Wildlife_Shannon","Predator_Richness","Predators_Present","Predator_Shannon_NoCat","Predator_Shannon_wCat","AllMammal_Richness","DOT","DOL","DOA","DON","NIP_weight","Lagged_DON","DIN_Bbss","Lagged_DIN_Bbss","DIN_Bbsl","Lagged_DIN_Bbsl","Qnymph_Bbss_prev","Lagged_Qnymph_Bbss_prev","Qnymph_Bbsl_prev","Lagged_Qnymph_Bbsl_prev","Qnymph_Rt_prev","Qnymph_Bm_prev","Min_OspC_Rich"
2.5,0.4,584,2.77,237.4,1839.7,3.26,1.84,4483.7,3.65,4.5,1147.2,3.06,21951.3,4.34,10157,4.01,15614,4.19,12798,4.1,24305,4.4,0.86,NA,"SMI",2018,"MICA",1,0,0,0,0,3,"Deer, Squirrel, Skunk",0.8946,1,"Skunk",0,0,4,15,14,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA
3918,3.59,46022.1,4.66,11.7,0,0,0,22370.9,4.35,22.4,0,0,114449,5.06,0,0,74290,4.87,0,0,107862,5,2.51,NA,"TIL",2019,"NEFU, PECA, PETR, PEMA",4,0.9446318,35,33,2,5,"Deer, Rabbit, Skunk, Raccoon, Coyote",1.2319,3,"Skunk, Raccoon, Coyote",0.9251291,0.9251291,9,170,157,2,11,11,2,0,0,0,0,0,0,0,0,0.091,NA,NA
3918,3.59,46022.1,4.66,11.7,0,0,0,22370.9,4.35,22.4,0,0,114449,5.06,0,0,74290,4.87,0,0,107862,5,2.51,NA,"TIL",2021,"MICA, NEFU, PECA, PEMA, PETR",5,0.44356919,43,42,1,5,"Deer, Bobcat, Turkey, Squirrel, Coyote",1.0055,2,"Bobcat, Coyote",0.376770161,0.376770161,10,169,166,1,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
293,2.47,25238.3,4.4,86.1,5293,3.72,5.29,6007.5,3.78,6,17787.06,4.25,18287.06,4.26,19951,4.3,19951,4.3,18667,4.3,18921,4.3,3.12,NA,"TUP",2016,"NEFU, PEMA",2,0.5538582,17,4,13,4,"Deer, Bobcat, Raccoon, Coyote",0.5127,3,"Bobcat, Raccoon, Coyote",0.9002561,0.56,6,195,153,0,42,42,8,0,NA,0,NA,0,NA,0,NA,0,0,NA
293,2.47,25238.3,4.4,86.1,5293,3.72,5.29,6007.5,3.78,6,17787.06,4.25,18287.06,4.26,19951,4.3,19951,4.3,18667,4.3,18921,4.3,3.12,NA,"TUP",2018,"NEFU, PEMA, MICA",3,0.8321107,14,12,2,4,"Deer, Squirrel, Coyote, Bobcat",1.2179,2,"Coyote, Bobcat",0.6931472,0.6931472,7,72,23,0,49,49,30,1,0,1,0,0.024,0,0.024,0,0,NA,NA
293,2.47,25238.3,4.4,86.1,5293,3.72,5.29,6007.5,3.78,6,17787.06,4.25,18287.06,4.26,19951,4.3,19951,4.3,18667,4.3,18921,4.3,3.12,NA,"TUP",2019,"NEFU, PEMA",2,0.6922953,31,16,15,4,"Deer, Raccoon, Bobcat, Coyote",0.2929,3,"Raccoon, Bobcat, Coyote",1.098612,1.098612,6,378,348,0,30,30,33,0,2,0,2,0,0.061,0,0.061,NA,NA,1
293,2.47,25238.3,4.4,86.1,5293,3.72,5.29,6007.5,3.78,6,17787.06,4.25,18287.06,4.26,19951,4.3,19951,4.3,18667,4.3,18921,4.3,3.12,NA,"TUP",2021,"NEFU, PEMA",2,0.68531421,47,8,39,1,"Deer",0,0,"",0,0,3,155,114,1,46,46,NA,0,NA,0,NA,0,NA,0.02,NA,0,0.0217,NA
130,2.11,12634.03,4.1,96.9,1156.2,3.06,1.16,1278.9,3.11,1.3,4035.5,3.61,4035.5,3.61,4207,3.62,4561,3.66,4837,3.7,4837,3.7,1.84,NA,"WDLP",2016,"NEFU, PECA, PETR, MICA",4,0.7536357,40,33,7,4,"Deer, Squirrel, Raccoon, Fox",0.5718,2,"Raccoon, Fox",0.6730117,1.08,8,514,505,4,5,5,9,0,NA,0,NA,0,NA,0,NA,0,NA,NA
130,2.11,12634.03,4.1,96.9,1156.2,3.06,1.16,1278.9,3.11,1.3,4035.5,3.61,4035.5,3.61,4207,3.62,4561,3.66,4837,3.7,4837,3.7,1.84,NA,"WDLP",2018,"NEFU, PECA, PETR",3,0.9586667,19,16,3,6,"Deer, Squirrel, Bobcat, Coyote, Skunk, Opossum",1.2426,4,"Bobcat, Coyote, Skunk, Opossum",0.7777899,0.9430457,9,468,441,3,24,24,23,1,0,1,0,0.042,0,0.042,0,NA,NA,NA
130,2.11,12634.03,4.1,96.9,1156.2,3.06,1.16,1278.9,3.11,1.3,4035.5,3.61,4035.5,3.61,4207,3.62,4561,3.66,4837,3.7,4837,3.7,1.84,NA,"WDLP",2019,"NEFU, PECA, PETR",3,0.6492484,11,8,3,5,"Deer, Squirrel, Raccoon, Opossum, Skunk",0.8772,3,"Raccoon, Opossum, Skunk",0.6390319,0.6390319,8,143,120,0,23,23,9,0,0,0,1,0,0,0,0.111,0.05,NA,1
130,2.11,12634.03,4.1,96.9,1156.2,3.06,1.16,1278.9,3.11,1.3,4035.5,3.61,4035.5,3.61,4207,3.62,4561,3.66,4837,3.7,4837,3.7,1.84,NA,"WDLP",2021,"NEFU, PECA, PETR",3,0.28562375,31,22,9,4,"Deer, Squirrel, Raccoon, Skunk",0.3271,2,"Raccoon, Skunk",0.693147181,0.693147181,7,483,432,2,49,49,NA,0,NA,1,NA,0,NA,0.0217,NA,0,0,NA
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,NA,"WH",2018,"NEFU, PECA, PETR, PEMA",4,0.8953165,47,46,1,5,"Deer, Squirrel, Mountain lion, Bobcat, Grey fox",1.2581,3,"Mountain lion, Bobcat, Fox",0.9649629,0.9649629,9,195,64,72,59,59,29,12,1,12,2,0.211,0.035,0.211,0.069,0.067,0.0877,NA
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,NA,"WH",2019,"NEFU, PECA, PETR, REME",4,0.9105664,41,38,3,4,"Deer, Squirrel, Gray Fox, Bobcat",1.0511,2,"Gray Fox, Bobcat",0.6931472,0.6931472,8,171,121,21,29,29,29,1,7,2,7,0.035,0.241,0.069,0.241,0,NA,1
151123,5.18,339044.4,5.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,NA,"WH",2021,"NEFU, PECA, PETR",3,0.27590396,39,35,4,5,"Deer, Bobcat, Squirrel, Turkey, Skunk",1.2109,2,"Bobcat, Skunk",0.682908105,0.682908105,8,128,6,46,76,76,NA,6,NA,6,NA,0.078,NA,0.078,NA,0,0.0395,3
11,1.04,5847.4,3.77,511.1,196.6,2.29,0.2,196.6,2.29,0.2,707.1,2.85,707.1,2.85,1414,3.15,1414,3.15,1945,3.3,1945,3.3,1.34,NA,"WP",2016,"NEFU, MICA, REME, RARA",4,0.846378,11,0,11,3,"Deer, Squirrel, Opossum",0.4377,1,"Opossum",0,0,7,59,57,0,2,2,0,0,NA,0,NA,0,NA,0,NA,0,0,NA
11,1.04,5847.4,3.77,511.1,196.6,2.29,0.2,196.6,2.29,0.2,707.1,2.85,707.1,2.85,1414,3.15,1414,3.15,1945,3.3,1945,3.3,1.34,NA,"WP",2018,"NEFU, PECA, MICA,REME",4,0.9593054,13,5,8,5,"Deer, Squirrel, Opossum, Bobcat, Raccoon",1.0384,3,"Opossum, Bobcat, Raccoon",1.039721,1.039721,9,14,13,0,1,1,2,1,0,1,0,1,0,1,0,NA,0,NA
11,1.04,5847.4,3.77,511.1,196.6,2.29,0.2,196.6,2.29,0.2,707.1,2.85,707.1,2.85,1414,3.15,1414,3.15,1945,3.3,1945,3.3,1.34,NA,"WP",2019,"NEFU, PECA",2,0.4741393,6,5,1,4,"Deer, Squirrel, Coyote, Skunk",1.1923,2,"Skunk, Coyote",0.4505612,0.4505612,6,26,24,0,2,2,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
11,1.04,5847.4,3.77,511.1,196.6,2.29,0.2,196.6,2.29,0.2,707.1,2.85,707.1,2.85,1414,3.15,1414,3.15,1945,3.3,1945,3.3,1.34,NA,"WP",2021,"PETR",1,0,3,3,0,2,"Deer, Bobcat",0.1243,1,"Bobcat",0,0,3,53,53,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
