sample name,n,s,H,season,elevation,plant,stage_lep,invertebrate
2 low lep 100,9,2,0.693147181,Fall,Low,Lep,early_senescence,soil
2 mid lep 0,2,2,0.636514168,Fall,Mid,Lep,early_senescence,soil
2 mid lep 40,20,5,1.303092404,Fall,Mid,Lep,early_senescence,soil
2 mid lep 80,11,3,0.73562194,Fall,Mid,Lep,early_senescence,soil
2 high lep 20,40,5,1.609437912,Fall,High,Lep,early_senescence,soil
2 high lep 60,28,6,1.791759469,Fall,High,Lep,early_senescence,soil
2 high lep 100,35,6,1.594166699,Fall,High,Lep,early_senescence,soil
2 low lep 20,7,6,1.430280302,Spring,Low,Lep,rosette,soil
2 low lep 40,4,1,0,Spring,Low,Lep,rosette,soil
2 low lep 60,2,3,0.425848449,Spring,Low,Lep,rosette,soil
2 mid lep 0,8,2,0.693147181,Spring,Mid,Lep,rosette,soil
2 mid lep 20,3,3,0.79098735,Spring,Mid,Lep,rosette,soil
2 mid lep 40,6,5,1.159588814,Spring,Mid,Lep,rosette,soil
2 high lep 20,46,4,0.753214447,Spring,High,Lep,rosette,soil
2 high lep 40,12,3,0.306829153,Spring,High,Lep,rosette,soil
2 high lep 60,7,1,0,Spring,High,Lep,rosette,soil
2 low lep 20,174,3,0.122379603,Summer,Low,Lep,flowering,soil
2 low lep 60,26,4,0.589280064,Summer,Low,Lep,flowering,soil
2 low lep 100,25,10,1.93614701,Summer,Low,Lep,flowering,soil
2 mid lep 0,107,4,0.234920141,Summer,Mid,Lep,flowering,soil
2 mid lep 40,31,4,0.518700439,Summer,Mid,Lep,flowering,soil
2 mid lep 80,16,3,0.601923972,Summer,Mid,Lep,flowering,soil
2 high lep 20,21,9,1.954645867,Summer,High,Lep,flowering,soil
2 high lep 60,83,4,0.243266214,Summer,High,Lep,flowering,soil
2 high lep 100,57,5,1.163020053,Summer,High,Lep,flowering,soil
2 low lep 20,16,3,0.601923972,Winter,Low,Lep,senescence,soil
2 low lep 60,10,6,1.609437912,Winter,Low,Lep,senescence,soil
2 low lep 100,35,7,1.636125205,Winter,Low,Lep,senescence,soil
2 mid lep 0,12,3,0.918427785,Winter,Mid,Lep,senescence,soil
2 mid lep 40,30,3,0.291139839,Winter,Mid,Lep,senescence,soil
2 mid lep 80,10,4,1.088899975,Winter,Mid,Lep,senescence,soil
2 high lep 20,83,10,1.25610822,Winter,High,Lep,senescence,soil
2 high lep 60,40,3,0.46089662,Winter,High,Lep,senescence,soil
2 high lep 100,77,7,1.483153894,Winter,High,Lep,senescence,soil
2 high 80 Nat,1079,36,1.326837118,Fall,high,Nat,NA,canopy
2 high 60 Nat,201,30,2.621190446,Fall,high,Nat,NA,canopy
2 mid 60 Nat,1265,44,1.561008367,Fall,mid,Nat,NA,canopy
2 mid 0 Nat,573,32,2.094820282,Fall,mid,Nat,NA,canopy
2 low 40 Nat,687,34,1.924606524,Fall,low,Nat,NA,canopy
2 low 20 Nat,1808,41,1.841333953,Fall,low,Nat,NA,canopy
2 high 80 Nat,717,47,1.772037962,Spring,high,Nat,NA,canopy
2 high 60 Nat,204,38,2.647297153,Spring,high,Nat,NA,canopy
2 mid 60 Nat,440,30,1.991104919,Spring,mid,Nat,NA,canopy
2 mid 20 Nat,983,36,2.296497624,Spring,mid,Nat,NA,canopy
2 low 40 Nat,473,48,2.9419928,Spring,low,Nat,NA,canopy
2 low 20 Nat,700,44,2.768362748,Spring,low,Nat,NA,canopy
2 high 80 Nat,486,33,2.860697383,Summer,high,Nat,NA,canopy
2 high 60 Nat,326,35,2.92246614,Summer,high,Nat,NA,canopy
2 mid 60 Nat,1540,50,2.477789282,Summer,mid,Nat,NA,canopy
2 mid 0 Nat,1032,43,2.653057525,Summer,mid,Nat,NA,canopy
2 low 40 Nat,266,27,2.474837031,Summer,low,Nat,NA,canopy
2 low 20 Nat,248,27,2.607881117,Summer,low,Nat,NA,canopy
2 high 80 Nat,960,26,2.582938249,Winter,high,Nat,NA,canopy
2 high 60 Nat,1012,16,2.050584683,Winter,high,Nat,NA,canopy
2 mid 60 Nat,1328,37,2.003359178,Winter,mid,Nat,NA,canopy
2 mid 0 Nat,912,15,0.92091581,Winter,mid,Nat,NA,canopy
2 low 40 Nat,72,12,2.242495936,Winter,low,Nat,NA,canopy
2 low 20 Nat,366,23,2.077826783,Winter,low,Nat,NA,canopy
2 low nat 20,11,8,1.97018144,Fall,Low,Nat,NA,soil
2 low nat 60,15,5,1.522955068,Fall,Low,Nat,NA,soil
2 low nat 100,2,4,1.16828245,Fall,Low,Nat,NA,soil
2 mid nat 0,18,6,1.667461933,Fall,Mid,Nat,NA,soil
2 mid nat 40,44,2,0.636514168,Fall,Mid,Nat,NA,soil
2 mid nat 80,26,1,0,Fall,Mid,Nat,NA,soil
2 high nat 20,2,5,0.960426067,Fall,High,Nat,NA,soil
2 high nat 60,1,6,1.632630927,Fall,High,Nat,NA,soil
2 high nat 100,18,2,0.410116318,Fall,High,Nat,NA,soil
2 low nat 20,14,2,0.636514168,Spring,Low,Nat,NA,soil
2 low nat 40,9,1,0,Spring,Low,Nat,NA,soil
2 low nat 60,10,5,1.427061043,Spring,Low,Nat,NA,soil
2 mid nat 20,3,2,0.108471339,Spring,Mid,Nat,NA,soil
2 mid nat 40,9,4,1.20479331,Spring,Mid,Nat,NA,soil
2 high nat 20,8,2,0.693147181,Spring,High,Nat,NA,soil
2 high nat 40,5,1,0,Spring,High,Nat,NA,soil
2 high nat 60,6,2,0.585952618,Spring,High,Nat,NA,soil
2 low nat 20,25,7,1.272158122,Summer,Low,Nat,NA,soil
2 low nat 60,9,2,0.348832096,Summer,Low,Nat,NA,soil
2 low nat 100,18,6,1.522955068,Summer,Low,Nat,NA,soil
2 mid nat 0,21,2,0.314492201,Summer,Mid,Nat,NA,soil
2 mid nat 40,48,4,0.433129306,Summer,Mid,Nat,NA,soil
2 mid nat 80,52,3,0.364664589,Summer,Mid,Nat,NA,soil
2 high nat 20,137,7,0.447553338,Summer,High,Nat,NA,soil
2 high nat 60,49,4,0.788197036,Summer,High,Nat,NA,soil
2 high nat 100,12,3,0.918427785,Summer,High,Nat,NA,soil
2 low nat 20,24,2,0.376770161,Winter,Low,Nat,NA,soil
2 low nat 60,9,5,1.303092404,Winter,Low,Nat,NA,soil
2 low nat 100,28,8,1.664094379,Winter,Low,Nat,NA,soil
2 mid nat 0,21,3,0.668017819,Winter,Mid,Nat,NA,soil
2 mid nat 40,30,7,1.20176168,Winter,Mid,Nat,NA,soil
2 mid nat 80,32,7,1.506203877,Winter,Mid,Nat,NA,soil
2 high nat 20,74,5,0.285218243,Winter,High,Nat,NA,soil
2 high nat 60,12,7,1.791759469,Winter,High,Nat,NA,soil
2 high nat 100,127,13,1.792538997,Winter,High,Nat,NA,soil
